��������,������,������,���,����

"Лицо со шрамом,8.2,США,1983,""драма, криминал"""
"Эрин Брокович,7.8,США,2000,""драма, биография"""
"Чужой,8.1,""Великобритания, США"",1979,""ужасы, фантастика"""
"Догвилль,7.9,""Дания, Нидерланды"",2003,""триллер, драма"""
"Шерлок Холмс,8.1,""США, Германия"",2009,""боевик, приключения"""
"Красотка,8.0,США,1990,""мелодрама, комедия"""
"Пленницы,7.8,США,2013,""триллер, драма"""
"За бортом,8.0,США,1987,""мелодрама, комедия"""
"Маленький принц,7.9,""Франция, Канада"",2015,""мультфильм, фэнтези"""
"Рапунцель: Запутанная история,7.9,""США, Германия"",2010,""мультфильм, мюзикл"""
"Малышка на миллион,8.1,США,2004,""драма, спорт"""
"Старикам тут не место,7.8,США,2007,""триллер, драма"""
"Ученик чудовища,8.0,Япония,2015,""аниме, мультфильм"""
"Брестская крепость,8.0,""Беларусь, Россия"",2010,""военный, боевик"""
"Амели,8.0,""Франция, Германия"",2001,""мелодрама, комедия"""
"Римские каникулы,8.3,США,1953,""мелодрама, комедия"""
"Бойфренд из будущего,7.9,""Великобритания, США"",2013,""фантастика, фэнтези"""
"Казино,8.1,""США, Франция"",1995,""драма, криминал"""
"Чужие,8.0,""Великобритания, США"",1986,""ужасы, фантастика"""
"Гангстер,7.9,""США, Великобритания"",2007,""драма, криминал"""
"Гаттака,8.0,США,1997,""фантастика, драма"""
"Области тьмы,8.0,""США, Мексика"",2011,""триллер, драма"""
"Ведьмина служба доставки,8.1,Япония,1989,""аниме, мультфильм"""
"Скрытые фигуры,7.7,США,2016,""драма, биография"""
"Город бога,8.0,""Бразилия, Франция"",2002,""драма, криминал"""
"Лекарь: Ученик Авиценны,7.7,Германия,2013,""приключения, история"""
"Великий Гэтсби,7.9,""Австралия, США"",2013,""драма, мелодрама"""
"Паразиты,8.0,Корея Южная,2019,""драма, триллер"""
"Работа без авторства,8.0,""Германия, Италия"",2018,""биография, драма"""
"Планета сокровищ,8.1,США,2002,""мультфильм, фантастика"""
"Доспехи Бога,7.8,""Гонконг, Югославия"",1986,""боевик, комедия"""
"История игрушек: Большой побег,7.8,США,2010,""мультфильм, фэнтези"""
Красота по-американски,8.0,США,1999,драма
"Вечное сияние чистого разума,8.0,США,2004,""мелодрама, фантастика"""
"Константин: Повелитель тьмы,7.8,""США, Германия"",2005,""фэнтези, ужасы"""
"Гнев,7.9,""США, Великобритания"",2004,""боевик, триллер"""
Золотой телёнок,8.2,СССР,1968,комедия
"Стражи Галактики. Часть 2,7.6,США,2017,""фантастика, боевик"""
"Марсианин,7.7,""Великобритания, США"",2015,""фантастика, приключения"""
"Капернаум,8.2,""Ливан, США"",2018,драма"
"Вперёд,7.8,США,2019,""мультфильм, фэнтези"""
"Марли и я,7.8,США,2008,""драма, комедия"""
"Вселенная Стивена Хокинга,7.9,""Великобритания, Япония"",2014,""биография, мелодрама"""
"Ковбой Бибоп,7.9,Япония,2001,""аниме, мультфильм"""
"Чудо,8.0,""США, Гонконг"",2017,""драма, семейный"""
"Звёздные войны: Эпизод 2 – Атака клонов,8.0,США,2002,""фантастика, боевик"""
"Суперсемейка,7.6,США,2004,""мультфильм, боевик"""
"Восточный ветер,8.1,Германия,2013,""приключения, семейный"""
"Радио,7.9,США,2003,""драма, биография"""
"Моана,7.6,США,2016,""мультфильм, мюзикл"""
"Холодное сердце,7.8,""США, Норвегия"",2013,""мультфильм, мюзикл"""
"История игрушек 2,7.8,США,1999,""мультфильм, фэнтези"""
"Ла-Ла Ленд,7.9,""США, Гонконг"",2016,""мюзикл, драма"""
Одаренная,7.8,США,2017,драма
"Баллада о солдате,8.3,СССР,1959,""драма, мелодрама"""
"Парк Юрского периода,7.8,США,1993,""приключения, фантастика"""
"Цельнометаллическая оболочка,8.0,""Великобритания, США"",1987,""драма, военный"""
"Кунг-фу Панда,7.8,""США, Китай"",2008,""мультфильм, фэнтези"""
"Земля до начала времен,8.0,""США, Ирландия"",1988,""мультфильм, драма"""
Реквием по мечте,8.0,США,2000,драма
Мальчишник в Вегасе,7.9,США,2009,комедия
"Доспехи Бога 2: Операция Кондор,8.0,Гонконг,1991,""боевик, триллер"""
"Дьявол носит Prada,7.6,""США, Франция"",2006,""драма, комедия"""
"Гарри Поттер и Кубок огня,7.9,""Великобритания, США"",2005,""фэнтези, приключения"""
"Жестокий романс,8.1,СССР,1984,""драма, мелодрама"""
"Мстители: Финал,7.7,США,2019,""фантастика, боевик"""
"Шестое чувство,8.2,США,1999,""детектив, фэнтези"""
"Гарри Поттер и Принц-полукровка,7.7,Великобритания,2009,""фэнтези, приключения"""
"Форсаж,7.7,""США, Германия"",2001,""боевик, триллер"""
"В августе 44-го,7.9,""Россия, Беларусь"",2001,""боевик, триллер"""
"Не может быть!,8.1,СССР,1975,""мелодрама, комедия"""
