��������,������,������,���,����

"Подозрительные лица,""8,5"",,1995,""['Crime, Drama']"""
"Сияние,""8,4"",,1980,""['Drama, Horror']"""
"Город Бога,""8,6"",,2002,""['Crime, Drama']"""
"Схватка,""8,2"",,1995,""['Action, Crime']"""
"Добрые сердца и короны,8,,1949,""['Comedy, Crime']"""
"Большой Лебовски,""8,1"",,1998,""['Comedy, Crime']"""
"Сладкая жизнь,8,,1960,""['Comedy, Drama']"""
"Фантазия,""7,7"",,1940,""['Animation, Family']"""
"Старикам тут не место,""8,1"",,2007,""['Crime, Drama']"""
"Это - Spinal Tap!,""7,9"",,1984,""['Comedy, Music']"""
"Три цвета: Красный,""8,1"",,1994,""['Drama, Mystery']"""
"Умница Уилл Хантинг,""8,3"",,1997,""['Drama, Romance']"""
Восемь с половиной,8,,1963,[]
"Унесённые призраками,""8,6"",,2001,""['Animation, Adventure']"""
"Ла-Ла Ленд,8,,2016,""['Comedy, Drama']"""
"Вестсайдская история,""7,5"",,1961,""['Crime, Drama']"""
"Охотник на оленей,""8,1"",,1978,""['Drama, War']"""
"Военно-полевой госпиталь М.Э.Ш.,""7,4"",,1970,""['Comedy, Drama']"""
"Красавица и чудовище,8,,1991,""['Animation, Family']"""
"Жизнь других,""8,4"",,2006,""['Drama, Mystery']"""
"Артист,""7,9"",,I) (,""['Comedy, Drama']"""
"Одержимость,""8,5"",,2014,""['Drama, Music']"""
"Король говорит!,8,,2010,""['Biography, Drama']"""
"Втoржение похитителей тел,""7,7"",,1956,""['Drama, Horror']"""
"Бёрдмэн,""7,7"",,2014,""['Comedy, Drama']"""
"Манчестер у моря,""7,8"",,2016,[]"
"Властелин колец: Две крепости,""8,7"",,2002,""['Action, Adventure']"""
"Близкие контакты третьей степени,""7,6"",,1977,""['Drama, Sci']"""
"Бруклин,""7,5"",,2015,""['Drama, Romance']"""
"Малышка на миллион,""8,1"",,2004,""['Drama, Sport']"""
"Подводная лодка,""8,3"",,1981,""['Drama, War']"""
"Любой ценой,""7,6"",,II) ,""['Action, Crime']"""
"Обыкновенные люди,""7,7"",,1980,[]"
"Пианист,""8,5"",,2002,""['Biography, Drama']"""
"Иди и смотри,""8,3"",,1985,""['Drama, Thriller']"""
"Новый кинотеатр «Парадизо»,""8,5"",,1988,""['Drama, Romance']"""
"Его девушка Пятница,""7,9"",,1940,""['Comedy, Drama']"""
"Гарольд и Мод,""7,9"",,1971,""['Comedy, Drama']"""
"Свидетель обвинения,""8,4"",,1957,""['Crime, Drama']"""
"Тропы славы,""8,4"",,1957,""['Drama, War']"""
"Останься со мной,""8,1"",,1986,""['Adventure, Drama']"""
"Вечное сияние чистого разума,""8,3"",,2004,""['Drama, Romance']"""
"Барри Линдон,""8,1"",,1975,""['Adventure, Drama']"""
"Амадей,""8,3"",,1984,""['Biography, Drama']"""
"Олдбой,""8,4"",,2003,""['Action, Drama']"""
"Король Лев,""8,5"",,1994,""['Animation, Adventure']"""
"Отрочество,""7,9"",,I) (,[]"
"Операция «Арго»,""7,7"",,2012,""['Biography, Drama']"""
"Тельма и Луиза,""7,5"",,1991,""['Adventure, Crime']"""
"Лестница в небо,""8,1"",,1946,""['Drama, Fantasy']"""
"Манхэттен,""7,9"",,1979,""['Comedy, Drama']"""
"Жизнь и смерть полковника Блимпа,""8,1"",,1943,""['Drama, Romance']"""
"Большой побег,""8,2"",,1963,""['Adventure, Drama']"""
"Спартак,""7,9"",,1960,""['Adventure, Biography']"""
"Монти Пайтон и священный Грааль,""8,2"",,1975,""['Adventure, Comedy']"""
"Бразилия,""7,9"",,1985,""['Drama, Sci']"""
Магнолия,8,,1999,[]
"Тутси,""7,4"",,1982,""['Comedy, Drama']"""
"Отступники,""8,5"",,2006,""['Action, Crime']"""
"Прибытие,""7,9"",,II) ,""['Drama, Sci']"""
"Казино Рояль,8,,2006,""['Action, Adventure']"""
"Когда Гарри встретил Салли,""7,6"",,1989,""['Comedy, Drama']"""
"Миллионер из трущоб,8,,2008,""['Drama, Romance']"""
"Синий бархат,""7,7"",,1986,""['Crime, Drama']"""
"Король комедии,""7,8"",,1982,""['Comedy, Crime']"""
"Клуб «Завтрак»,""7,8"",,1985,""['Comedy, Drama']"""
"ВАЛЛ·И,""8,4"",,2008,""['Animation, Adventure']"""
"Головоломка,""8,1"",,I) (,""['Animation, Adventure']"""
"Выходной день Ферриса Бьюллера,""7,8"",,1986,[]"
"Беспечный ездок,""7,3"",,1969,""['Adventure, Drama']"""
Молодой Франкенштейн,8,,1974,[]
"Амели,""8,3"",,2001,""['Comedy, Romance']"""
"Семь,""8,6"",,1995,""['Crime, Drama']"""
"Вся президентская рать,8,,1976,""['Drama, History']"""
"Леон,""8,5"",,1994,""['Action, Crime']"""
"Малыш,""8,3"",,1921,""['Comedy, Drama']"""
"Страсти Жанны д'Арк,""8,1"",,1928,""['Biography, Drama']"""
"Жизнь прекрасна,""8,6"",,1997,""['Comedy, Drama']"""
"Рокки,""8,1"",,1976,""['Drama, Sport']"""
"На игле,""8,1"",,1996,[]"
"Звёздные войны. Эпизод 6: Возвращение джедая,""8,3"",,1983,""['Action, Adventure']"""
"Золотая лихорадка,""8,2"",,1925,""['Adventure, Comedy']"""
"Непрощенный,""8,2"",,1992,""['Drama, Western']"""
"Помни,""8,4"",,2000,""['Mystery, Thriller']"""
"Восход солнца,""8,1"",,1927,""['Drama, Romance']"""
"Нэшвилл,""7,7"",,1975,""['Comedy, Drama']"""
"Утиный суп,""7,8"",,1933,""['Comedy, Musical']"""
"Странствия Салливана,""7,9"",,1941,""['Adventure, Comedy']"""
"Кабаре,""7,8"",,1972,""['Drama, Music']"""
"Телесеть,""8,1"",,1976,[]"
"Спасти рядового Райана,""8,6"",,1998,""['Drama, War']"""
"Африканская королева,""7,8"",,1951,""['Adventure, Drama']"""
Кто боится Вирджинии Вульф?,8,,1966,[]
"Красная река,""7,8"",,1948,""['Drama, Western']"""
"Полуночная жара,""7,9"",,1967,""['Crime, Drama']"""
"В случае убийства набирайте «М»,""8,2"",,1954,""['Crime, Thriller']"""
"Дикая банда,""7,9"",,1969,""['Action, Adventure']"""
"Титаник,""7,8"",,1997,""['Drama, Romance']"""
"Вечер в опере,""7,9"",,1935,""['Comedy, Music']"""
"Взвод,""8,1"",,1986,""['Drama, War']"""
"Однажды в Америке,""8,3"",,1984,""['Crime, Drama']"""
"Дух улья,""7,9"",,1973,""['Drama, Fantasy']"""
"Развод Надера и Симин,""8,3"",,2011,[]"
"История игрушек 3,""8,2"",,2010,""['Animation, Adventure']"""
"Воспитание крошки,""7,9"",,1938,[]"
"Шестое чувство,""8,1"",,1999,""['Drama, Mystery']"""
"Время свинга,""7,6"",,1936,""['Comedy, Musical']"""
"Разговор,""7,8"",,1974,""['Drama, Mystery']"""
"Выбор Софи,""7,6"",,1982,""['Drama, Romance']"""
"Французский связной,""7,7"",,1971,""['Action, Crime']"""
"Делай как надо,8,,1989,""['Comedy, Drama']"""
"Янки Дудл Денди,""7,7"",,1942,""['Biography, Drama']"""
"Бен-Гур,""8,1"",,1959,""['Adventure, Drama']"""
"Бунтарь без причины,""7,7"",,1955,[]"
